"Symbol","Description","Market Capitalization","Average Volume (10 Day)","Price","Universe","Sector","Industry","Sub-Industry"
"A","Agilent Technologies Inc","$40B (Mid)","2,044,010","$139.68","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"AA","Alcoa Corp","$12B (Mid)","6,981,860","$46.14","Domestic","Materials","Metals & Mining","Aluminum"
"AAL","American Airlines Group Inc","$10B (Mid)","56,474,360","$14.96","Domestic","Industrials","Passenger Airlines","Passenger Airlines"
"AAOI","Applied Optoelectronics Inc","$2B (Small)","5,351,910","$32.06","Domestic","Information Technology","Communications Equipment","Communications Equipment"
"AAON","Aaon Inc","$6B (Small)","958,400","$77.93","Domestic","Industrials","Building Products","Building Products"
"AAPL","Apple Inc","$4T (Large)","41,127,510","$278.28","Domestic","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"ABBNY","Abb Ltd","$133B (Large)","198,320","$73.12","International (ADR)","Industrials","Electrical Equipment","Electrical Components & Equipment"
"ABBV","AbbVie Inc","$395B (Large)","4,954,460","$223.32","Domestic","Health Care","Biotechnology","Biotechnology"
"ABM","ABM Industries Inc","$3B (Small)","498,530","$46.64","Domestic","Industrials","Commercial Services & Supplies","Environmental & Facilities Services"
"ABT","Abbott Laboratories","$218B (Large)","5,424,710","$125.46","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ACA","Arcosa Inc","$5B (Small)","222,780","$110.84","Domestic","Industrials","Construction & Engineering","Construction & Engineering"
"ACAD","ACADIA Pharmaceuticals Inc","$5B (Small)","1,577,020","$27.15","Domestic","Health Care","Biotechnology","Biotechnology"
"ACHR","Archer Aviation Inc","$5B (Small)","39,868,770","$8.30","Domestic","Industrials","Aerospace & Defense","Aerospace & Defense"
"ACIW","ACI Worldwide Inc","$5B (Small)","700,850","$47.53","Domestic","Information Technology","Software","Application Software"
"ACLS","Axcelis Technologies Inc","$3B (Small)","581,910","$85.61","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Materials & Equipment"
"ACLX","Arcellx Inc","$4B (Small)","1,538,530","$71.86","Domestic","Health Care","Biotechnology","Biotechnology"
"ACM","AECOM","$13B (Mid)","1,640,570","$98.85","Domestic","Industrials","Construction & Engineering","Construction & Engineering"
"ACMR","ACM Research Inc","$3B (Small)","1,208,850","$38.83","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Materials & Equipment"
"ACN","Accenture PLC","$168B (Large)","4,222,040","$271.56","Domestic","Information Technology","IT Services","IT Consulting & Other Services"
"ADBE","Adobe Inc","$149B (Large)","5,292,940","$356.43","Domestic","Information Technology","Software","Application Software"
"ADI","Analog Devices Inc","$137B (Large)","4,186,670","$279.32","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"ADMA","ADMA Biologics Inc","$5B (Small)","2,687,680","$19.78","Domestic","Health Care","Biotechnology","Biotechnology"
"ADP","Automatic Data Processing Inc","$108B (Large)","2,446,790","$266.10","Domestic","Industrials","Professional Services","Human Resource & Employment Services"
"ADPT","Adaptive Biotechnologies Corp","$2B (Small)","3,409,350","$15.44","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"ADSK","Autodesk Inc","$63B (Large)","1,526,880","$297.64","Domestic","Information Technology","Software","Application Software"
"AEIS","Advanced Energy Industries Inc","$8B (Mid)","371,800","$215.07","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments"
