"Symbol","Description","Market Capitalization","Average Volume (10 Day)","Price","Universe","Sector","Industry","Sub-Industry"
"ADC","Agree Realty Corp","$8B (Mid)","1,034,710","$71.75","Domestic","Real Estate","Retail REITs","Retail REITs"
"AEE","Ameren Corp","$26B (Mid)","1,919,510","$97.27","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"AEP","American Electric Power Company Inc","$61B (Large)","3,100,380","$114.13","Domestic","Utilities","Electric Utilities","Electric Utilities"
"AES","AES Corp","$10B (Mid)","7,501,830","$13.83","Domestic","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders"
"AHR","American Healthcare REIT Inc","$9B (Mid)","2,028,570","$47.25","Domestic","Real Estate","Health Care REITs","Health Care REITs"
"AKR","Acadia Realty Trust","$3B (Small)","1,336,610","$19.83","Domestic","Real Estate","Retail REITs","Retail REITs"
"ALE","ALLETE Inc","$4B (Small)","1,487,450","$67.90","Domestic","Utilities","Electric Utilities","Electric Utilities"
"AMH","American Homes 4 Rent","$12B (Mid)","3,015,900","$31.12","Domestic","Real Estate","Residential REITs","Single-Family Residential REITs"
"AMT","American Tower Corp","$85B (Large)","3,545,870","$180.70","Domestic","Real Estate","Specialized REITs","Telecom Tower REITs"
"APLE","Apple Hospitality REIT Inc","$3B (Small)","2,509,340","$12.12","Domestic","Real Estate","Hotel & Resort REITs","Hotel & Resort REITs"
"ARE","Alexandria Real Estate Equities Inc","$8B (Mid)","3,903,350","$46.64","Domestic","Real Estate","Health Care REITs","Health Care REITs"
"ATO","Atmos Energy Corp","$27B (Mid)","994,540","$168.37","Domestic","Utilities","Gas Utilities","Gas Utilities"
"AVA","Avista Corp","$3B (Small)","718,600","$38.56","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"AVB","AvalonBay Communities Inc","$25B (Mid)","1,184,670","$176.90","Domestic","Real Estate","Residential REITs","Multi-Family Residential REITs"
"AWK","American Water Works Co Inc","$26B (Mid)","2,401,750","$131.55","Domestic","Utilities","Water Utilities","Water Utilities"
"AWR","American States Water Co","$3B (Small)","268,640","$73.95","Domestic","Utilities","Water Utilities","Water Utilities"
"AXIA","Centrais Eletricas Brasileiras SA - Eletrobras","$23B (Mid)","2,170,470","$11.74","International (ADR)","Utilities","Electric Utilities","Electric Utilities"
"BEKE","Ke Holdings Inc","$20B (Mid)","4,597,980","$17.28","International (ADR)","Real Estate","Real Estate Management & Development","Real Estate Services"
"BEPC","Brookfield Renewable Corp","$7B (Small)","871,010","$38.75","Domestic","Utilities","Independent Power & Renewable Electricity Producers","Renewable Electricity"
"BIP","Brookfield Infrastructure Partners LP","$23B (Mid)","812,490","$34.75","International (ADR)","Utilities","Multi-Utilities","Multi-Utilities"
"BIPC","Brookfield Infrastructure Corp","$6B (Small)","593,510","$46.33","Domestic","Utilities","Gas Utilities","Gas Utilities"
"BKH","Black Hills Corp","$5B (Small)","1,027,320","$72.63","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"BNL","Broadstone Net Lease Inc","$3B (Small)","1,958,320","$17.67","Domestic","Real Estate","Diversified REITs","Diversified REITs"
"BOWFF","Boardwalk Real Estate Investment Trust","$2B (Small)","2,590","$44.50","International (ADR)","Real Estate","Residential REITs","Multi-Family Residential REITs"
"BRX","Brixmor Property Group Inc","$8B (Mid)","3,374,040","$25.65","Domestic","Real Estate","Retail REITs","Retail REITs"
"BXP","BXP Inc","$11B (Mid)","1,248,770","$71.41","Domestic","Real Estate","Office REITs","Office REITs"
"CBRE","CBRE Group Inc","$47B (Large)","1,393,870","$159.58","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services"
"CCI","Crown Castle Inc","$40B (Mid)","2,663,180","$90.96","Domestic","Real Estate","Specialized REITs","Telecom Tower REITs"
"CDEVY","City Developments Ltd","$5B (Small)","9,470","$5.61","International (ADR)","Real Estate","Real Estate Management & Development","Diversified Real Estate Activities"
"CDP","COPT Defense Properties","$3B (Small)","791,270","$29.48","Domestic","Real Estate","Office REITs","Office REITs"
"CEG","Constellation Energy Corp","$110B (Large)","2,128,310","$351.98","Domestic","Utilities","Electric Utilities","Electric Utilities"
"CEPU","Central Puerto SA","$2B (Small)","383,540","$16.17","International (ADR)","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders"
"CIG","Energy of Minas Gerais Co","$4B (Small)","3,191,870","$2.04","International (ADR)","Utilities","Electric Utilities","Electric Utilities"
"CIGI","Colliers International Group Inc","$7B (Small)","109,290","$145.53","International (ADR)","Real Estate","Real Estate Management & Development","Real Estate Services"
"CLPHY","CLP Holdings Ltd","$22B (Mid)","75,240","$8.73","International (ADR)","Utilities","Electric Utilities","Electric Utilities"
"CMS","CMS Energy Corp","$21B (Mid)","2,006,340","$69.84","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"CNP","CenterPoint Energy Inc","$25B (Mid)","4,705,170","$37.84","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"COLD","Americold Realty Trust Inc","$4B (Small)","8,107,110","$12.73","Domestic","Real Estate","Industrial REITs","Industrial REITs"
"COMP","Compass Inc","$6B (Small)","10,512,850","$10.74","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services"
"CPK","Chesapeake Utilities Corp","$3B (Small)","121,420","$127.35","Domestic","Utilities","Gas Utilities","Gas Utilities"
"CPT","Camden Property Trust","$11B (Mid)","937,140","$104.23","Domestic","Real Estate","Residential REITs","Multi-Family Residential REITs"
"CSGP","CoStar Group Inc","$29B (Mid)","2,938,050","$68.23","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services"
"CTRE","CareTrust REIT Inc","$8B (Mid)","1,842,780","$36.29","Domestic","Real Estate","Health Care REITs","Health Care REITs"
"CUBE","CubeSmart","$8B (Mid)","1,863,980","$36.52","Domestic","Real Estate","Specialized REITs","Self-Storage REITs"
"CURB","Curbline Properties Corp.","$2B (Small)","1,058,820","$22.90","Domestic","Real Estate","Retail REITs","Retail REITs"
"CUZ","Cousins Properties Inc","$4B (Small)","1,431,820","$25.11","Domestic","Real Estate","Office REITs","Office REITs"
"CWEN/A","Clearway Energy Inc","$2B (Small)","227,860","$30.43","Domestic","Utilities","Independent Power & Renewable Electricity Producers","Renewable Electricity"
"CWK","Cushman & Wakefield Ltd","$4B (Small)","2,076,950","$15.29","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services"
"CWT","California Water Service Group","$3B (Small)","458,980","$44.17","Domestic","Utilities","Water Utilities","Water Utilities"
"D","Dominion Energy Inc","$51B (Large)","6,657,440","$59.33","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"DLR","Digital Realty Trust Inc","$53B (Large)","1,867,950","$153.63","Domestic","Real Estate","Specialized REITs","Data Center REITs"
"DOC","Healthpeak Properties Inc","$12B (Mid)","7,935,060","$16.62","Domestic","Real Estate","Health Care REITs","Health Care REITs"
"DTE","DTE Energy Co","$27B (Mid)","1,591,790","$129.80","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"DUK","Duke Energy Corp","$90B (Large)","3,552,990","$115.30","Domestic","Utilities","Electric Utilities","Electric Utilities"
"ED","Consolidated Edison Inc","$35B (Mid)","2,113,600","$97.53","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"EDPFY","EDP SA","$18B (Mid)","17,610","$44.08","International (ADR)","Utilities","Electric Utilities","Electric Utilities"
"EGP","Eastgroup Properties Inc","$10B (Mid)","320,620","$182.53","Domestic","Real Estate","Industrial REITs","Industrial REITs"
"EIX","Edison International","$22B (Mid)","3,058,070","$58.31","Domestic","Utilities","Electric Utilities","Electric Utilities"
"ELP","Companhia Paranaense de Energia","$4B (Small)","388,600","$10.45","International (ADR)","Utilities","Electric Utilities","Electric Utilities"
"ELS","Equity LifeStyle Properties Inc","$12B (Mid)","1,563,550","$62.05","Domestic","Real Estate","Residential REITs","Single-Family Residential REITs"
"ENIC","Enel Chile SA","$6B (Small)","462,660","$4.01","International (ADR)","Utilities","Electric Utilities","Electric Utilities"
"EONGY","E.ON SE","$47B (Large)","121,850","$17.86","International (ADR)","Utilities","Multi-Utilities","Multi-Utilities"
"EPR","EPR Properties","$4B (Small)","736,430","$50.07","Domestic","Real Estate","Specialized REITs","Other Specialized REITs"
"EPRT","Essential Properties Realty Trust Inc","$6B (Small)","1,562,210","$30.53","Domestic","Real Estate","Diversified REITs","Diversified REITs"
"EQIX","Equinix Inc","$74B (Large)","653,630","$750.32","Domestic","Real Estate","Specialized REITs","Data Center REITs"
"EQR","Equity Residential","$23B (Mid)","2,244,840","$60.95","Domestic","Real Estate","Residential REITs","Multi-Family Residential REITs"
"ES","Eversource Energy","$26B (Mid)","2,476,720","$68.11","Domestic","Utilities","Electric Utilities","Electric Utilities"
"ESS","Essex Property Trust Inc","$17B (Mid)","484,600","$257.62","Domestic","Real Estate","Residential REITs","Multi-Family Residential REITs"
"ETR","Entergy Corp","$41B (Mid)","3,135,350","$92.35","Domestic","Utilities","Electric Utilities","Electric Utilities"
"EVRG","Evergy Inc","$17B (Mid)","2,036,720","$73.80","Domestic","Utilities","Electric Utilities","Electric Utilities"
"EXC","Exelon Corp","$44B (Large)","8,346,930","$43.57","Domestic","Utilities","Electric Utilities","Electric Utilities"
"EXR","Extra Space Storage Inc","$29B (Mid)","1,276,220","$134.48","Domestic","Real Estate","Specialized REITs","Self-Storage REITs"
"FCPT","Four Corners Property Trust Inc","$2B (Small)","750,650","$23.06","Domestic","Real Estate","Specialized REITs","Other Specialized REITs"
"FE","FirstEnergy Corp","$26B (Mid)","4,808,420","$44.26","Domestic","Utilities","Electric Utilities","Electric Utilities"
"FR","First Industrial Realty Trust Inc","$8B (Mid)","1,115,270","$58.19","Domestic","Real Estate","Industrial REITs","Industrial REITs"
"FRMI","Fermi Inc","$6B (Small)","9,359,720","$10.09","Domestic","Real Estate","Specialized REITs","Data Center REITs"
"FRT","Federal Realty Investment Trust","$9B (Mid)","665,130","$99.58","Domestic","Real Estate","Retail REITs","Retail REITs"
"GLPI","Gaming and Leisure Properties Inc","$12B (Mid)","3,547,460","$43.49","Domestic","Real Estate","Specialized REITs","Other Specialized REITs"
"GRP/U","Granite Real Estate Investment Trust","$3B (Small)","4,910","$56.69","International (ADR)","Real Estate","Industrial REITs","Industrial REITs"
"HGKGY","Power Assets Holdings Ltd","$14B (Mid)","2,960","$6.79","International (ADR)","Utilities","Electric Utilities","Electric Utilities"
"HHH","Howard Hughes Holdings Inc","$5B (Small)","345,660","$84.57","Domestic","Real Estate","Real Estate Management & Development","Real Estate Development"
"HIW","Highwoods Properties Inc","$3B (Small)","1,621,350","$25.86","Domestic","Real Estate","Office REITs","Office REITs"
"HLDCY","Henderson Land Development Co Ltd","$18B (Mid)","12,520","$3.72","International (ADR)","Real Estate","Real Estate Management & Development","Real Estate Development"
"HLPPY","Hang Lung Properties Ltd","$6B (Small)","49,510","$5.77","International (ADR)","Real Estate","Real Estate Management & Development","Real Estate Operating Companies"
"HOKCY","Hong Kong and China Gas Co Ltd","$18B (Mid)","6,650","$0.98","International (ADR)","Utilities","Gas Utilities","Gas Utilities"
"HR","Healthcare Realty Trust Inc","$6B (Small)","2,973,560","$17.18","Domestic","Real Estate","Health Care REITs","Health Care REITs"
"HST","Host Hotels & Resorts Inc","$13B (Mid)","8,078,360","$18.36","Domestic","Real Estate","Hotel & Resort REITs","Hotel & Resort REITs"
"IDA","Idacorp Inc","$7B (Small)","489,120","$125.86","Domestic","Utilities","Electric Utilities","Electric Utilities"
"INVH","Invitation Homes Inc","$16B (Mid)","5,091,060","$26.35","Domestic","Real Estate","Residential REITs","Single-Family Residential REITs"
"IRM","Iron Mountain Inc","$25B (Mid)","1,858,370","$83.35","Domestic","Real Estate","Specialized REITs","Other Specialized REITs"
"IRT","Independence Realty Trust Inc","$4B (Small)","2,920,190","$16.93","Domestic","Real Estate","Residential REITs","Multi-Family Residential REITs"
"IVT","Inventrust Properties Corp","$2B (Small)","525,460","$29.04","Domestic","Real Estate","Retail REITs","Retail REITs"
"JLL","Jones Lang LaSalle Inc","$16B (Mid)","328,040","$334.65","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services"
"JOE","St Joe Co","$4B (Small)","241,970","$62.82","Domestic","Real Estate","Real Estate Management & Development","Diversified Real Estate Activities"
"KEN","Kenon Holdings Ltd","$3B (Small)","10,460","$61.29","International (ADR)","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders"
"KEP","Korea Electric Power Corp","$21B (Mid)","355,750","$16.68","International (ADR)","Utilities","Electric Utilities","Electric Utilities"
"KIM","Kimco Realty Corp","$14B (Mid)","4,156,280","$20.16","Domestic","Real Estate","Retail REITs","Retail REITs"
"KRC","Kilroy Realty Corp","$5B (Small)","1,368,340","$40.46","Domestic","Real Estate","Office REITs","Office REITs"
"KRG","Kite Realty Group Trust","$5B (Small)","2,032,190","$23.34","Domestic","Real Estate","Retail REITs","Retail REITs"
"LAMR","Lamar Advertising Co","$13B (Mid)","501,230","$128.00","Domestic","Real Estate","Specialized REITs","Other Specialized REITs"
"LB","LandBridge Co LLC","$4B (Small)","286,630","$55.21","Domestic","Real Estate","Real Estate Management & Development","Real Estate Operating Companies"
"LINE","Lineage Inc","$8B (Mid)","1,520,830","$36.82","Domestic","Real Estate","Industrial REITs","Industrial REITs"
"LNT","Alliant Energy Corp","$17B (Mid)","1,996,050","$65.33","Domestic","Utilities","Electric Utilities","Electric Utilities"
"LXP","LXP Industrial Trust","$3B (Small)","674,320","$49.71","Domestic","Real Estate","Industrial REITs","Industrial REITs"
"MAA","Mid-America Apartment Communities Inc","$15B (Mid)","931,620","$132.11","Domestic","Real Estate","Residential REITs","Multi-Family Residential REITs"
"MAC","Macerich Co","$5B (Small)","1,685,590","$18.67","Domestic","Real Estate","Retail REITs","Retail REITs"
"MDU","MDU Resources Group Inc","$4B (Small)","2,875,220","$19.59","Domestic","Utilities","Gas Utilities","Gas Utilities"
