Symbol,Description,Market Capitalization,Average Volume (10 Day),Price,Universe,Sector,Industry,Sub-Industry
AAP,Advance Auto Parts Inc,$3B (Small),"1,455,260",$46.37,Domestic,Consumer Discretionary,Specialty Retail,Automotive Retail
AB,AllianceBernstein Holding LP,$4B (Small),"257,960",$39.96,Domestic,Financials,Capital Markets,Asset Management & Custody Banks
ABCB,Ameris Bancorp,$5B (Small),"401,660",$77.95,Domestic,Financials,Banks,Regional Banks
ABEV,Ambev SA,$40B (Mid),"33,051,040",$2.55,International (ADR),Consumer Staples,Beverages,Brewers
ABG,Asbury Automotive Group Inc,$5B (Small),"168,180",$243.64,Domestic,Consumer Discretionary,Specialty Retail,Automotive Retail
ABNB,Airbnb Inc,$78B (Large),"4,589,400",$128.39,Domestic,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
ACGL,Arch Capital Group Ltd,$34B (Mid),"2,351,430",$93.92,Domestic,Financials,Insurance,Property & Casualty Insurance
ACI,Albertsons Companies Inc,$10B (Mid),"8,350,740",$17.36,Domestic,Consumer Staples,Consumer Staples Distribution & Retail,Food Retail
ACT,Enact Holdings Inc,$6B (Small),"275,290",$39.74,Domestic,Financials,Financial Services,Commercial & Residential Mortgage Finance
AD,Array Digital Infrastructure Inc,$4B (Small),"273,690",$49.25,Domestic,Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
ADDYY,Adidas AG,$35B (Mid),"120,610",$98.23,International (ADR),Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
ADM,Archer-Daniels-Midland Co,$29B (Mid),"2,469,850",$60.01,Domestic,Consumer Staples,Food Products,Agricultural Products & Services
ADRNY,Koninklijke Ahold Delhaize NV,$36B (Mid),"46,900",$40.70,International (ADR),Consumer Staples,Consumer Staples Distribution & Retail,Food Retail
ADT,ADT Inc,$7B (Small),"6,525,350",$8.16,Domestic,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
AEG,Aegon Ltd,$12B (Mid),"6,448,860",$7.38,International (ADR),Financials,Insurance,Life & Health Insurance
AEO,American Eagle Outfitters Inc,$4B (Small),"13,434,230",$25.46,Domestic,Consumer Discretionary,Specialty Retail,Apparel Retail
AFG,American Financial Group Inc,$11B (Mid),"402,830",$137.23,Domestic,Financials,Insurance,Property & Casualty Insurance
AFL,Aflac Inc,$58B (Large),"2,170,650",$110.05,Domestic,Financials,Insurance,Life & Health Insurance
AFRM,Affirm Holdings Inc,$22B (Mid),"4,724,010",$67.25,Domestic,Financials,Financial Services,Transaction & Payment Processing Services
